與与 專专 業业 兩两 為为 麼么 樂乐 亂乱 虧亏 雲云 產产 親亲 僅仅 從从 會会 傳传 體体 偵侦
關关 內内 冊册 凍冻 擊击 劃划 則则 創创 刪删 別别 區区 協协 單单 廳厅 歷历 曆历 壓压 參参
雙双 發发 髮发 變变 號号 後后 員员 響响 團团 圍围 國国 圖图 處处 備备 復复 複复 頭头 夾夹
娛娱 學学 實实 對对 尋寻 導导 將将 嘗尝 盡尽 層层 屬属 幣币 帳帐 並并 應应 開开 異异 彈弹
強强 當当 錄录 徑径 懷怀 態态 總总 戶户 執执 護护 報报 擬拟 擇择 掛挂 擋挡 損损 換换 據据
數数 斷断 無无 舊旧 時时 顯显 暫暂 術术 機机 權权 條条 欄栏 樣样 檔档 檢检 沒没 測测 瀏浏
漲涨 灣湾 點点 煩烦 狀状 環环 現现 電电 畫画 碼码 確确 種种 稱称 穩稳 類类 紅红 級级 紀纪
線线 組组 細细 經经 綁绑 結结 給给 絡络 統统 繼继 續续 維维 緩缓 編编 縮缩 網网 聯联 腦脑
艦舰 蘇苏 蘋苹 範范 獲获 藍蓝 虛虚 補补 裝装 見见 規规 視视 覽览 計计 認认 讓让 議议 訊讯
記记 論论 設设 訪访 證证 詐诈 譯译 試试 詢询 該该 詳详 誤误 請请 調调 諮谘 謝谢 敗败 賬账
購购 貼贴 資资 轉转 軟软 載载 較较 輯辑 邊边 達达 過过 運运 還还 這这 進进 連连 遲迟 適适
選选 裡里 錢钱 銀银 鏈链 鎖锁 錯错 鍵键 閉闭 問问 間间 隊队 難难 頁页 項项 順顺 須须 頻频
題题 額额 風风 飛飞 餘余 饋馈 馬马 驗验 騙骗 驟骤 龍龙 臨临 證证 驅驱 齊齐 圓圆 遊游 場场
標标 準准 價价 買买 賣卖 費费 貨货 質质 賺赚 輪轮 軌轨 達达 遠远 邁迈 郵邮 鄰邻 釋释 鏡镜
閃闪 閱阅 陣阵 階阶 隨随 險险 雜杂 霧雾 靈灵 響响 領领 顆颗 願愿 飄飘 餅饼 養养 館馆 驚惊
鬥斗 鮮鲜 鹽盐 麥麦 黃黄 齒齿 節节 億亿 個个 們们 說说 讀读 話话 誰谁 語语 課课 講讲 謹谨
